Student_ID,Student_Name,Class,Math,Physics,Chemistry,English,Attendance
STU0001,Sneha,I BSc Maths,38,70,66,63,68
STU0002,Nandhini,I BSc Maths,46,89,39,38,65
STU0003,Vignesh,II BSc Maths,99,38,60,88,74
STU0004,Nisha,II BSc CS,70,35,55,89,81
STU0005,Praveen,II BSc Maths,62,78,48,46,84
STU0006,Priya,III BSc Maths,79,68,40,93,94
STU0007,Priya,I BSc CS,45,72,81,59,64
STU0008,Hari,II BSc Maths,72,45,64,47,84
STU0009,Praveen,I BSc CS,81,55,82,80,73
STU0010,Aishwarya,III BSc Maths,44,56,66,55,89
STU0011,Rahul,III BSc Maths,63,76,42,64,62
STU0012,Ramesh,III BSc Maths,86,69,43,62,96
STU0013,Swathi,III BSc Maths,62,98,85,93,69
STU0014,Praveen,II BSc Maths,66,68,89,86,83
STU0015,Harish,II BSc Maths,100,98,46,41,67
STU0016,Subha,II BSc Maths,89,43,84,83,98
STU0017,Nisha,II BSc CS,67,36,49,69,81
STU0018,Priya,III BSc Maths,90,55,93,35,76
STU0019,Keerthana,II BSc Maths,99,48,73,99,98
STU0020,Vignesh,II BSc Maths,82,55,35,76,91
STU0021,Arun,I BSc Maths,81,74,65,42,75
STU0022,Swathi,II BSc CS,45,45,97,43,94
STU0023,Dinesh,II BSc Maths,51,95,56,68,93
STU0024,Deepa,II BSc CS,89,62,60,74,85
STU0025,Aishwarya,III BSc Maths,91,92,50,66,74
STU0026,Sanjay,III BSc Maths,37,64,63,35,64
STU0027,Kavin,I BSc Maths,64,43,39,77,64
STU0028,Keerthana,II BSc Maths,70,97,62,51,96
STU0029,Meena,I BSc CS,66,95,87,59,66
STU0030,Priya,I BSc CS,80,89,87,94,63
STU0031,Aishwarya,I BSc Maths,42,86,78,48,75
STU0032,Vignesh,II BSc Maths,92,52,89,58,77
STU0033,Nisha,II BSc Maths,44,91,47,41,94
STU0034,Sathish,I BSc Maths,46,65,56,87,91
STU0035,Anitha,II BSc Maths,86,42,56,83,60
STU0036,Rahul,III BSc Maths,93,71,89,97,69
STU0037,Vignesh,III BSc Maths,62,42,42,75,63
STU0038,Hari,II BSc CS,96,99,55,42,92
STU0039,Sanjay,II BSc Maths,43,43,65,86,67
STU0040,Swathi,II BSc CS,66,40,45,88,97
STU0041,Meena,II BSc CS,75,68,61,75,75
STU0042,Praveen,I BSc CS,51,73,93,75,64
STU0043,Arun,I BSc CS,47,44,62,99,76
STU0044,Subha,III BSc Maths,43,66,82,71,70
STU0045,Nisha,II BSc CS,73,36,73,48,68
STU0046,Praveen,I BSc Maths,48,54,69,71,98
STU0047,Vignesh,III BSc Maths,61,68,99,97,76
STU0048,Swathi,I BSc Maths,46,89,70,40,60
STU0049,Ajith,II BSc Maths,68,55,91,89,95
STU0050,Arun,I BSc Maths,44,54,39,82,97
STU0051,Lavanya,II BSc Maths,90,51,40,74,83
STU0052,Swathi,I BSc Maths,80,61,66,48,82
STU0053,Dinesh,II BSc CS,87,54,65,55,71
STU0054,Swathi,I BSc CS,38,57,77,87,75
STU0055,Praveen,II BSc Maths,48,83,39,95,74
STU0056,Vignesh,I BSc CS,79,74,64,63,61
STU0057,Aishwarya,II BSc Maths,86,77,70,43,77
STU0058,Vijay,II BSc CS,86,77,38,49,76
STU0059,Karthik,II BSc CS,68,39,48,90,82
STU0060,Nandhini,III BSc Maths,90,100,49,84,96
STU0061,Vignesh,III BSc Maths,40,90,35,60,83
STU0062,Divya,I BSc Maths,77,75,50,73,92
STU0063,Surya,I BSc CS,76,86,72,51,72
STU0064,Divya,I BSc CS,57,73,86,35,79
STU0065,Surya,II BSc Maths,90,76,94,91,88
STU0066,Aishwarya,II BSc Maths,100,95,56,45,78
STU0067,Keerthana,II BSc CS,77,46,65,74,74
STU0068,Ramesh,II BSc Maths,53,38,40,66,90
STU0069,Kavya,I BSc Maths,93,88,59,84,91
STU0070,Rahul,II BSc Maths,53,35,48,89,74
STU0071,Karthik,II BSc CS,94,41,66,50,89
STU0072,Subha,I BSc CS,75,91,99,89,95
STU0073,Nisha,II BSc Maths,95,92,68,66,100
STU0074,Praveen,II BSc CS,97,65,70,91,64
STU0075,Kavin,III BSc Maths,65,69,77,75,94
STU0076,Sanjay,II BSc Maths,54,64,84,54,73
STU0077,Sanjay,I BSc CS,87,77,94,88,63
STU0078,Vignesh,I BSc CS,84,37,83,96,60
STU0079,Vijay,III BSc Maths,84,88,63,97,74
STU0080,Praveen,I BSc CS,97,38,84,78,85
STU0081,Nandhini,II BSc Maths,94,51,38,85,97
STU0082,Meena,I BSc Maths,45,89,52,94,71
STU0083,Hari,III BSc Maths,83,76,62,93,80
STU0084,Ajith,I BSc CS,70,88,67,45,90
STU0085,Arun,II BSc CS,41,79,63,43,62
STU0086,Dinesh,I BSc Maths,66,60,37,54,75
STU0087,Subha,I BSc CS,49,62,94,67,83
STU0088,Karthik,II BSc CS,49,55,74,48,97
STU0089,Arun,III BSc Maths,83,85,60,44,97
STU0090,Kavin,II BSc Maths,48,73,50,40,82
STU0091,Lavanya,I BSc CS,82,43,99,78,60
STU0092,Deepa,I BSc CS,97,48,90,81,100
STU0093,Swathi,I BSc CS,54,90,57,69,99
STU0094,Ramesh,II BSc CS,96,94,90,69,80
STU0095,Deepa,II BSc Maths,46,70,92,66,89
STU0096,Meena,II BSc CS,83,78,38,98,80
STU0097,Karthik,I BSc CS,62,80,68,78,77
STU0098,Swathi,II BSc CS,70,36,59,45,75
STU0099,Nandhini,I BSc CS,97,65,95,97,88
STU0100,Ramesh,I BSc Maths,46,72,63,86,75
STU0101,Surya,II BSc CS,82,95,79,89,95
STU0102,Ajith,III BSc Maths,93,69,74,67,74
STU0103,Priya,II BSc Maths,75,50,58,59,73
STU0104,Nandhini,I BSc CS,70,71,47,59,78
STU0105,Harish,III BSc Maths,57,73,36,51,77
STU0106,Hari,I BSc Maths,72,51,97,48,60
STU0107,Meena,III BSc Maths,95,96,91,78,71
STU0108,Hari,III BSc Maths,96,49,43,86,91
STU0109,Sanjay,II BSc CS,41,54,54,73,65
STU0110,Harish,I BSc Maths,88,63,83,92,88
STU0111,Surya,II BSc CS,89,74,42,47,73
STU0112,Sneha,II BSc Maths,68,45,55,65,71
STU0113,Lavanya,I BSc Maths,55,35,87,92,98
STU0114,Anitha,III BSc Maths,39,64,71,71,89
STU0115,Sanjay,II BSc Maths,68,60,89,49,94
STU0116,Harish,II BSc Maths,69,53,44,42,70
STU0117,Ramesh,III BSc Maths,71,91,50,94,79
STU0118,Kavin,I BSc CS,69,99,98,91,65
STU0119,Kavya,I BSc Maths,90,76,67,38,65
STU0120,Harish,II BSc CS,37,69,40,57,90
STU0121,Keerthana,I BSc CS,70,58,90,97,65
STU0122,Anitha,III BSc Maths,87,77,76,48,70
STU0123,Ajith,I BSc CS,98,71,86,39,89
STU0124,Sanjay,III BSc Maths,67,76,49,86,92
STU0125,Sathish,I BSc Maths,94,87,41,59,93
STU0126,Vijay,II BSc CS,98,91,41,61,77
STU0127,Lavanya,II BSc Maths,71,91,97,50,61
STU0128,Sneha,II BSc CS,65,55,74,36,95
STU0129,Divya,I BSc Maths,63,49,94,50,69
STU0130,Anitha,III BSc Maths,100,69,88,96,90
STU0131,Harish,I BSc CS,53,84,59,100,68
STU0132,Deepa,I BSc Maths,70,88,78,99,77
STU0133,Sathish,I BSc Maths,71,73,97,54,88
STU0134,Lavanya,I BSc CS,79,77,83,93,80
STU0135,Deepa,II BSc Maths,65,84,64,87,62
STU0136,Ajith,I BSc CS,83,84,54,98,62
STU0137,Subha,II BSc CS,77,47,91,47,93
STU0138,Mohan,I BSc CS,36,53,87,54,64
STU0139,Anitha,III BSc Maths,78,85,45,77,94
STU0140,Rahul,III BSc Maths,97,39,43,65,100
STU0141,Aishwarya,III BSc Maths,64,46,90,47,100
STU0142,Kavin,I BSc Maths,91,56,73,38,62
STU0143,Ajith,I BSc Maths,72,80,82,90,69
STU0144,Harish,II BSc CS,87,58,56,57,65
STU0145,Kavya,I BSc CS,65,98,53,64,89
STU0146,Sneha,III BSc Maths,93,67,36,94,78
STU0147,Aishwarya,II BSc CS,55,44,91,79,97
STU0148,Surya,I BSc CS,67,93,73,60,84
STU0149,Deepa,I BSc CS,48,65,83,80,96
STU0150,Surya,III BSc Maths,37,85,70,36,96
STU0151,Deepa,I BSc Maths,98,71,64,80,74
STU0152,Sneha,II BSc Maths,67,52,47,40,79
STU0153,Ramesh,I BSc CS,39,81,51,46,78
STU0154,Ajith,I BSc CS,57,60,51,81,93
STU0155,Keerthana,III BSc Maths,56,67,96,72,81
STU0156,Ramesh,I BSc Maths,94,44,53,63,85
STU0157,Deepa,II BSc CS,81,46,85,36,76
STU0158,Lavanya,I BSc Maths,93,82,68,83,100
STU0159,Vijay,I BSc Maths,64,95,38,76,99
STU0160,Harish,I BSc Maths,94,73,87,49,68
STU0161,Hari,I BSc Maths,73,98,49,47,75
STU0162,Swathi,II BSc CS,52,84,93,82,94
STU0163,Divya,II BSc CS,54,88,47,97,99
STU0164,Divya,III BSc Maths,39,82,62,91,88
STU0165,Harish,III BSc Maths,47,82,80,42,85
STU0166,Praveen,II BSc Maths,50,93,46,62,100
STU0167,Kavya,I BSc Maths,41,77,66,51,96
STU0168,Vignesh,I BSc Maths,61,62,64,77,69
STU0169,Ramesh,II BSc CS,35,70,53,51,94
STU0170,Praveen,II BSc Maths,49,38,51,36,82
STU0171,Ramesh,II BSc Maths,76,37,57,68,63
STU0172,Subha,I BSc CS,49,43,95,92,83
STU0173,Keerthana,II BSc CS,48,92,99,63,99
STU0174,Hari,II BSc CS,73,93,38,42,90
STU0175,Deepa,I BSc CS,89,48,97,91,64
STU0176,Swathi,I BSc Maths,76,53,43,51,77
STU0177,Kavya,II BSc CS,76,83,72,93,92
STU0178,Kavya,I BSc CS,47,49,62,90,88
STU0179,Swathi,II BSc Maths,87,78,93,86,86
STU0180,Nandhini,I BSc Maths,75,89,75,67,83
STU0181,Subha,I BSc CS,43,46,45,46,87
STU0182,Priya,III BSc Maths,51,42,77,50,86
STU0183,Vijay,I BSc CS,41,71,74,80,66
STU0184,Meena,II BSc CS,62,54,96,63,66
STU0185,Vijay,II BSc CS,82,49,70,63,87
STU0186,Deepa,II BSc CS,38,69,38,58,77
STU0187,Kavin,III BSc Maths,78,79,35,58,69
STU0188,Meena,I BSc CS,43,53,38,46,93
STU0189,Vignesh,I BSc CS,88,93,78,55,83
STU0190,Surya,III BSc Maths,45,41,54,55,99
STU0191,Hari,I BSc Maths,69,91,89,97,98
STU0192,Nisha,I BSc CS,69,62,100,49,82
STU0193,Divya,I BSc Maths,71,97,74,40,74
STU0194,Rahul,II BSc CS,42,35,61,73,73
STU0195,Dinesh,II BSc Maths,67,72,76,50,60
STU0196,Anitha,I BSc CS,57,51,83,64,92
STU0197,Lavanya,III BSc Maths,44,85,40,90,61
STU0198,Nisha,I BSc Maths,75,89,86,88,78
STU0199,Priya,I BSc CS,37,76,56,93,83
STU0200,Sanjay,I BSc CS,48,66,90,86,93
STU0201,Sanjay,I BSc CS,74,78,63,77,70
STU0202,Sanjay,II BSc CS,49,100,59,79,82
STU0203,Nandhini,II BSc Maths,65,48,53,67,72
STU0204,Karthik,II BSc CS,54,44,57,98,89
STU0205,Dinesh,II BSc CS,92,76,75,54,88
STU0206,Sanjay,I BSc CS,91,73,70,42,82
STU0207,Keerthana,I BSc Maths,74,94,92,39,63
STU0208,Vijay,III BSc Maths,44,46,99,84,89
STU0209,Meena,II BSc CS,40,92,59,76,98
STU0210,Anitha,II BSc CS,54,42,92,48,81
STU0211,Kavin,I BSc Maths,99,57,40,66,88
STU0212,Nisha,II BSc CS,55,81,82,71,84
STU0213,Divya,III BSc Maths,41,77,43,77,66
STU0214,Lavanya,I BSc CS,71,67,54,77,65
STU0215,Meena,II BSc Maths,79,74,85,51,98
STU0216,Kavin,I BSc Maths,74,83,77,51,93
STU0217,Sanjay,I BSc CS,100,81,37,81,79
STU0218,Karthik,II BSc Maths,78,97,59,63,68
STU0219,Subha,I BSc Maths,72,47,99,39,81
STU0220,Swathi,II BSc CS,51,83,54,55,71
STU0221,Sathish,II BSc CS,56,91,40,87,83
STU0222,Aishwarya,II BSc Maths,91,71,92,64,94
STU0223,Harish,III BSc Maths,95,59,82,91,89
STU0224,Dinesh,III BSc Maths,83,99,88,55,72
STU0225,Ramesh,II BSc CS,52,67,41,96,83
STU0226,Lavanya,I BSc Maths,50,71,45,55,77
STU0227,Nisha,II BSc CS,53,90,46,63,88
STU0228,Swathi,III BSc Maths,38,88,41,85,92
STU0229,Vijay,II BSc Maths,84,45,82,63,61
STU0230,Ajith,I BSc Maths,77,53,52,39,78
STU0231,Mohan,I BSc CS,52,95,92,35,65
STU0232,Arun,III BSc Maths,62,54,89,49,78
STU0233,Harish,III BSc Maths,50,41,65,88,100
STU0234,Ramesh,II BSc CS,93,43,49,98,98
STU0235,Lavanya,I BSc Maths,100,65,53,72,87
STU0236,Arun,II BSc CS,80,65,88,58,65
STU0237,Keerthana,III BSc Maths,43,99,99,37,84
STU0238,Deepa,I BSc CS,40,84,82,67,61
STU0239,Vijay,I BSc Maths,79,65,48,77,68
STU0240,Hari,III BSc Maths,78,57,94,96,100
STU0241,Karthik,II BSc Maths,43,93,39,72,72
STU0242,Hari,II BSc Maths,40,75,74,100,85
STU0243,Sathish,II BSc CS,95,67,39,59,78
STU0244,Vijay,I BSc Maths,77,69,50,82,87
STU0245,Swathi,I BSc CS,91,84,78,58,91
STU0246,Kavin,I BSc CS,82,69,45,89,65
STU0247,Divya,II BSc CS,58,72,76,48,65
STU0248,Ajith,III BSc Maths,74,92,89,56,88
STU0249,Vijay,I BSc CS,40,80,90,70,100
STU0250,Ramesh,I BSc Maths,44,86,81,100,70
STU0251,Arun,II BSc Maths,91,39,51,43,75
STU0252,Dinesh,III BSc Maths,81,84,39,54,88
STU0253,Vijay,III BSc Maths,91,44,52,81,85
STU0254,Ajith,III BSc Maths,66,49,38,58,91
STU0255,Keerthana,I BSc CS,50,68,68,92,73
STU0256,Kavya,III BSc Maths,97,60,50,52,64
STU0257,Nisha,II BSc Maths,91,46,75,79,64
STU0258,Lavanya,II BSc CS,72,73,55,57,83
STU0259,Keerthana,II BSc Maths,50,60,52,65,91
STU0260,Arun,III BSc Maths,82,94,51,46,64
STU0261,Surya,I BSc CS,96,87,87,44,68
STU0262,Ajith,I BSc Maths,92,94,79,51,95
STU0263,Sneha,II BSc CS,58,51,90,99,63
STU0264,Sathish,I BSc Maths,54,73,56,55,80
STU0265,Mohan,II BSc Maths,79,71,45,67,72
STU0266,Sneha,II BSc CS,70,51,73,46,92
STU0267,Sneha,II BSc Maths,54,56,78,40,61
STU0268,Sanjay,I BSc Maths,68,61,88,38,91
STU0269,Swathi,II BSc CS,72,73,96,66,85
STU0270,Surya,I BSc CS,44,42,55,91,86
STU0271,Anitha,I BSc CS,61,78,53,75,80
STU0272,Nandhini,III BSc Maths,86,51,82,100,95
STU0273,Priya,III BSc Maths,65,94,50,69,88
STU0274,Harish,II BSc Maths,47,41,72,84,99
STU0275,Divya,II BSc Maths,55,76,75,59,70
STU0276,Anitha,II BSc CS,94,98,74,98,61
STU0277,Sanjay,I BSc CS,99,93,65,62,97
STU0278,Vijay,I BSc Maths,41,71,98,95,78
STU0279,Lavanya,I BSc Maths,48,90,52,68,83
STU0280,Dinesh,I BSc CS,81,40,86,41,96
STU0281,Lavanya,II BSc Maths,81,71,44,84,92
STU0282,Nisha,II BSc CS,70,50,51,47,85
STU0283,Vijay,III BSc Maths,81,53,60,100,85
STU0284,Keerthana,I BSc Maths,40,39,52,77,90
STU0285,Keerthana,I BSc CS,54,100,52,76,99
STU0286,Ajith,II BSc Maths,85,73,78,99,92
STU0287,Lavanya,I BSc CS,73,95,37,82,81
STU0288,Aishwarya,I BSc Maths,88,74,38,95,76
STU0289,Sneha,II BSc CS,64,41,96,56,93
STU0290,Sneha,II BSc CS,83,53,66,39,96
STU0291,Kavin,I BSc Maths,59,37,91,75,86
STU0292,Subha,I BSc CS,61,87,99,95,63
STU0293,Kavin,II BSc Maths,61,76,96,83,80
STU0294,Karthik,I BSc CS,78,80,68,96,72
STU0295,Harish,III BSc Maths,73,63,73,71,73
STU0296,Kavin,I BSc CS,75,96,79,70,78
STU0297,Priya,II BSc CS,83,85,79,53,78
STU0298,Hari,III BSc Maths,45,79,91,67,90
STU0299,Vignesh,II BSc Maths,69,69,52,48,99
STU0300,Nandhini,II BSc CS,65,66,41,63,100
STU0301,Harish,I BSc Maths,47,87,77,95,66
STU0302,Aishwarya,II BSc Maths,35,55,87,95,90
STU0303,Sneha,II BSc Maths,71,76,71,42,65
STU0304,Sneha,II BSc CS,64,39,57,88,71
STU0305,Mohan,I BSc Maths,85,98,58,72,62
STU0306,Arun,III BSc Maths,48,77,71,93,94
STU0307,Keerthana,I BSc CS,52,99,94,69,72
STU0308,Ramesh,I BSc Maths,77,55,93,67,71
STU0309,Arun,III BSc Maths,72,59,57,86,87
STU0310,Keerthana,III BSc Maths,46,86,47,58,68
STU0311,Anitha,III BSc Maths,66,35,68,84,75
STU0312,Nisha,III BSc Maths,77,73,36,68,83
